@RELATION airbnb

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Ciutat Vella','Sant Martí','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
'Entire home/apt','Eixample','2','4.5','9','3.0','0','6','11'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','4','14'
'Entire home/apt','Gràcia','2','4.5','4','3.0','0','9','10'
'Private room','Gràcia','0','4.5','1','1.0','0','9','10'
'Private room','Sant Martí','0','5.0','1','1.0','0','12','16'
'Entire home/apt','Sants-Montjuïc','0','4.0','7','4.0','0','4','7'
'Entire home/apt','Eixample','3','5.0','4','1.0','0','7','10'
'Private room','Sant Martí','0','3.5','2','1.0','0','7','14'
'Entire home/apt','Sant Martí','0','4.5','6','3.0','0','8','15'
'Private room','Sants-Montjuïc','0','5.0','2','1.0','0','3','5'
'Private room','Gràcia','0','4.0','2','1.0','0','10','9'
'Entire home/apt','Eixample','0','4.5','4','1.0','0','4','10'
'Entire home/apt','Eixample','1','4.5','4','2.0','0','8','12'
'Private room','Ciutat Vella','0','5.0','2','1.0','0','4','14'
'Entire home/apt','Gràcia','4','4.5','3','1.0','0','9','9'
'Private room','Sants-Montjuïc','0','5.0','1','1.0','0','2','6'
'Private room','Eixample','0','4.5','1','1.0','0','7','13'
'Entire home/apt','Eixample','0','4.5','6','2.0','0','9','13'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Entire home/apt','Ciutat Vella','0','4.5','8','3.0','1','4','12'
'Entire home/apt','Sants-Montjuïc','0','4.5','5','2.0','0','4','7'
'Private room','Ciutat Vella','0','4.5','4','1.0','0','4','12'
'Entire home/apt','Sant Martí','2','5.0','6','2.0','0','10','14'
'Private room','Sant Andreu','0','4.5','1','1.0','0','11','14'
'Private room','Eixample','0','4.5','2','1.0','0','8','13'
'Private room','Ciutat Vella','0','4.5','2','1.0','0','5','11'
'Entire home/apt','Sants-Montjuïc','1','4.0','3','1.0','0','3','8'
'Entire home/apt','Ciutat Vella','0','4.0','6','2.0','0','4','12'
'Private room','Sants-Montjuïc','0','4.5','2','1.0','0','3','10'
'Private room','Sant Martí','0','4.5','2','1.0','0','9','14'
'Private room','Sant Martí','1','4.0','2','1.0','0','10','15'
'Entire home/apt','Eixample','0','5.0','4','2.0','2','7','11'
'Entire home/apt','Eixample','1','4.5','6','3.0','0','8','11'
'Private room','Eixample','1','4.5','3','1.0','0','6','11'
